Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,3,221,Plantago lanceolata,4,21,0,0,7,3,0,8.5,6,6.5,0,2,5,2.5,27-Jun,42548,178,63,0,10,7,178,0
North Berwick,Euphrasia arctica,4,210,Trifolium repens,1,43,4,1,7,5,0,10,7.5,7.5,0,3,11,4,24-Jun,42545,175,149,0,28,7,175,4
North Berwick,Euphrasia arctica,5,204,Arabidopsis thaliana,3,40,6,0,8,4,0,10,6,7.5,0,4,9,4,23-Jun,42544,174,62,0,32,8,174,6
North Berwick,Euphrasia arctica,6,200,Trifolium repens,1,36,5,1,10,4,0,9,6,7,0,4,10,4,26-Jun,42547,177,80,0,24,10,177,5
North Berwick,Euphrasia arctica,7,199,Holcus lanatus,5,30,4,0,8,4,0,9,6.5,7,0,3,8,3,26-Jun,42547,177,90,0,18,8,177,4
North Berwick,Euphrasia arctica,8,155,Holcus lanatus,5,24,3,0,7,4,0,9,6.5,7,0,3,7,3,26-Jun,42547,177,69,0,13,7,177,3
North Berwick,Euphrasia arctica,9,150,Arabidopsis thaliana,3,16,3,0,6,3,0,8.5,5,7,0,3,6.5,3,28-Jun,42549,179,45,0,11,6,179,3
North Berwick,Euphrasia arctica,10,114,Arabidopsis thaliana,3,26,4,0,8,4,0,9.5,6.5,7,0,3,12,4,29-Jun,42550,180,56,0,15,8,180,4
North Berwick,Euphrasia arctica,11,248,Plantago lanceolata,4,21,2,0,7,4,0,8.5,5,6.5,0,3,6,2.5,29-Jun,42550,180,77,0,11,7,180,2
North Berwick,Euphrasia arctica,12,236,Pinus sylvestris,8,22,0,0,9,3,0,7,4.5,5.5,0,3,5,2,28-Jun,42549,179,41,0,11,9,179,0
North Berwick,Euphrasia arctica,13,235,Arabidopsis thaliana,3,19,3,0,7,4,0,9.5,6,7,0,4,6,2,27-Jun,42548,178,30,0,8,7,178,3
North Berwick,Euphrasia arctica,16,216,Festuca,2,14,1,0,7,2,0,9,6,7,0,2,4.5,1,03-Jul,42554,184,43,0,8,7,184,1
North Berwick,Euphrasia arctica,17,159,Arabidopsis thaliana,3,27,4,0,10,4,0,8,5.5,6,0,4,6.5,5,03-Jul,42554,184,41,0,12.5,10,184,4
North Berwick,Euphrasia arctica,19,257,Plantago lanceolata,4,18,3,0,7,3,0,9,5.5,7,0,4,7.5,2.5,02-Jul,42553,183,7,0,14,7,183,3
North Berwick,Euphrasia arctica,20,268,Trifolium repens,1,27,2,0,8,3,0,8,5,6,0,3,5,3,01-Jul,42552,182,,0,8,8,182,2
North Berwick,Euphrasia arctica,21,253,Arabidopsis thaliana,3,24,3,0,8,4,0,8,5.5,6,0,3,6.5,3,01-Jul,42552,182,26,0,12,8,182,3
North Berwick,Euphrasia arctica,22,15,Trifolium repens,1,39,4,0,7,4,0,9.5,7,7,0,3,7,4.5,27-Jun,42548,178,152,0,19,7,178,4
North Berwick,Euphrasia arctica,23,256,Equisetum,6,21,2,0,8,3,0,9,7,7,0,3,4.5,2.5,27-Jun,42548,178,105,0,11,8,178,2
North Berwick,Euphrasia arctica,24,1,Equisetum,6,10,0,0,7,3,0,8,5,6,0,3,4,1.5,28-Jun,42549,179,62,0,,7,179,0
North Berwick,Euphrasia arctica,25,239,Plantago lanceolata,4,26,2,0,8,3,0,8.5,3,6.5,0,3,6.5,3,05-Jul,42556,186,72,0,8,8,186,2
North Berwick,Euphrasia arctica,26,245,Arabidopsis thaliana,3,28,3,0,8,4,0,8.5,4,6.5,0,4,7,5,06-Jul,42557,187,45,0,9,8,187,3
North Berwick,Euphrasia arctica,29,262,Arabidopsis thaliana,3,32,7,0,9,4,0,8.5,3,6.5,0,3,8.5,5,07-Jul,42558,188,55,0,17,9,188,7
North Berwick,Euphrasia arctica,32,223,Trifolium repens,1,28,6,0,9,3,0,8,3,6,0,3,9,4.5,07-Jul,42558,188,133,0,12,9,188,6
North Berwick,Euphrasia arctica,36,217,Arabidopsis thaliana,3,27,5,0,8,4,0,10,3,7.5,0,3,8,4,06-Jul,42557,187,48,0,15,8,187,5
North Berwick,Euphrasia arctica,37,252,Festuca,2,26,3,0,10,4,0,9,6,7,0,3,7,2,12-Jul,42563,193,65,0,8,10,193,3
North Berwick,Euphrasia arctica,38,261,Festuca,2,18,2,0,9,4,0,8,5.5,6,0,3,6,2,12-Jul,42563,193,88,0,9,9,193,2
North Berwick,Euphrasia arctica,41,17,Festuca,2,11,0,0,9,3,0,9.5,5.5,7,0,3,4,1.5,11-Jul,42562,192,17,0,,9,192,0
North Berwick,Euphrasia arctica,42,118,Arabidopsis thaliana,3,29,2,0,7,3,0,9,6,7,0,2,5,1.5,11-Jul,42562,192,26,0,10,7,192,2
North Berwick,Euphrasia arctica,43,117,Festuca,2,21,1,0,9,3,0,8,5.5,6,0,3,5,2,10-Jul,42561,191,53,0,10,9,191,1
North Berwick,Euphrasia arctica,45,111,Trifolium repens,1,20,2,0,7,3,0,8,5.5,6,0,3,6,2,11-Jul,42562,192,173,0,9,7,192,2
North Berwick,Euphrasia arctica,46,110,Holcus lanatus,5,22,4,0,9,3,0,9.5,6,7,0,3,6.5,3,11-Jul,42562,192,90,0,11,9,192,4
North Berwick,Euphrasia arctica,47,243,Equisetum,6,18,1,0,9,3,0,8,5,6,0,3,5,1.5,10-Jul,42561,191,82,0,8,9,191,1
North Berwick,Euphrasia arctica,49,209,Festuca,2,25,0,0,7,3,0,8,4.5,6,0,2,4,1.5,08-Jul,42559,189,41,0,8,7,189,0
North Berwick,Euphrasia arctica,50,202,Equisetum,6,16,0,0,9,2,0,8.5,4.5,6.5,0,2,5,1.5,12-Jul,42563,193,41,0,8,9,193,0
North Berwick,Euphrasia arctica,51,113,Festuca,2,17,0,0,9,3,0,8,5,6,0,2,5,2,08-Jul,42559,189,50,0,8.5,9,189,0
North Berwick,Euphrasia arctica,52,74,Trifolium repens,1,64,6,1,8,5,0,11,7.5,8.5,0,3,13,8,08-Jul,42559,189,183,0,15,8,189,6
North Berwick,Euphrasia arctica,53,238,Equisetum,6,13,0,0,8,3,0,7,5,5.5,0,2,3,1,11-Jul,42562,192,17,0,7,8,192,0
North Berwick,Euphrasia arctica,54,247,liverwort,7,9,0,0,8,2,0,6,4.5,4.5,0,2,3.5,1,12-Jul,42563,193,12,0,6,8,193,0
North Berwick,Euphrasia arctica,55,114,Arabidopsis thaliana,3,33,4,0,8,4,0,9.5,7,7,0,3,7,5,08-Jul,42559,189,56,0,15,8,189,4
North Berwick,Euphrasia arctica,57,156,Trifolium repens,1,38,4,1,9,4,0,11.5,8,9,0,3,8,4.5,08-Jul,42559,189,141,0,9,9,189,4
North Berwick,Euphrasia arctica,58,154,Plantago lanceolata,4,13,0,0,8,3,0,8.5,5.5,6.5,0,3,4.5,1.5,11-Jul,42562,192,32,0,7,8,192,0
North Berwick,Euphrasia arctica,59,145,Plantago lanceolata,4,16,1,0,10,3,0,9,4.5,7,0,3,4,2,12-Jul,42563,193,55,0,7.5,10,193,1
North Berwick,Euphrasia arctica,60,158,Festuca,2,24,1,0,9,4,0,9,6,7,0,4,6,2.5,10-Jul,42561,191,54,0,8,9,191,1
