Access_No_or_location,Species,Record_number,Unique_identified,Host,Host_code_number,Host_no_host,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Corolla _ength,Corolla_width,Standard_corolla_l,Glandular_hairs,Cauline_leaf_teeth,Cauline _leaf_length,Cauline_internode_length,Cauline_ratio,Inferred_flower_date,Flower_date_cal,Julian_days_to_flower,Height_end_season,Peat_no_peat
North Berwick,Euphrasia arctica,5,204,Arabidopsis thaliana,3,0,40,6,0,8,4,0,10,6,7.5,0,4,9,4,0.444444444,42544,42544,174,62,0
North Berwick,Euphrasia arctica,9,150,Arabidopsis thaliana,3,0,16,3,0,6,3,0,8.5,5,7,0,3,6.5,3,0.461538462,42549,42549,179,45,0
North Berwick,Euphrasia arctica,10,114,Arabidopsis thaliana,3,0,26,4,0,8,4,0,9.5,6.5,7,0,3,12,4,0.333333333,42550,42550,180,56,0
North Berwick,Euphrasia arctica,13,235,Arabidopsis thaliana,3,0,19,3,0,7,4,0,9.5,6,7,0,4,6,2,0.333333333,42548,42548,178,30,0
North Berwick,Euphrasia arctica,15,226,Arabidopsis thaliana,3,0,20,2,0,9,4,0,8,5.5,6,0,4,6,3,0.5,42553,42553,183,#N/A,#N/A
North Berwick,Euphrasia arctica,17,159,Arabidopsis thaliana,3,0,27,4,0,10,4,0,8,5.5,6,0,4,6.5,5,0.769230769,42554,42554,184,41,0
North Berwick,Euphrasia arctica,21,253,Arabidopsis thaliana,3,0,24,3,0,8,4,0,8,5.5,6,0,3,6.5,3,0.461538462,42552,42552,182,26,0
North Berwick,Euphrasia arctica,26,245,Arabidopsis thaliana,3,0,28,3,0,8,4,0,8.5,4,6.5,0,4,7,5,0.714285714,42557,42557,187,45,0
North Berwick,Euphrasia arctica,29,262,Arabidopsis thaliana,3,0,32,7,0,9,4,0,8.5,3,6.5,0,3,8.5,5,0.588235294,42558,42558,188,55,0
North Berwick,Euphrasia arctica,36,217,Arabidopsis thaliana,3,0,27,5,0,8,4,0,10,3,7.5,0,3,8,4,0.5,42557,42557,187,48,0
North Berwick,Euphrasia arctica,42,118,Arabidopsis thaliana,3,0,29,2,0,7,3,0,9,6,7,0,2,5,1.5,0.3,42562,42562,192,26,0
North Berwick,Euphrasia arctica,48,25,Arabidopsis thaliana,3,0,20,4,0,8,4,0,9,6,7,0,4,6,4,0.666666667,42563,42563,193,33,1
North Berwick,Euphrasia arctica,55,114,Arabidopsis thaliana,3,0,33,4,0,8,4,0,9.5,7,7,0,3,7,5,0.714285714,42559,42559,189,56,0
North Berwick,Euphrasia arctica,56,136,Arabidopsis thaliana,3,0,14,1,0,8,3,0,8,5,6,0,3,6,2,0.333333333,42564,42564,194,36,1
North Berwick,Euphrasia arctica,63,12,Arabidopsis thaliana,3,0,15,3,0,8,3,0,7,3.5,5.5,0,4,5,2,0.4,42563,42563,193,37,0
