Record_number,Access_No,E4E,Expert_ID_living,Unique_identified,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Standard_corolla_l,Glandular_hairs,Cauline_leaf_length,Cauline_internode_length,Cauline_ratio,Julian_days_to_flower,2C_pg
182,20151856,E4E0027,E. anglica x nemorosa,B181,159,11,0,11,7,0,9.5,1,14,23,1.642857143,191,
199,20151856,E4E0027,E. anglica x nemorosa,B198,150,12,1,13,6,0,7.5,1,10,14,1.4,192,1.3
228,20151856,E4E0027,E. anglica x nemorosa,B227,175,11,1,13,6,0,9,1,14,21,1.5,194,1.25
229,20151856,E4E0027,E. anglica x nemorosa,B228,187,13,1,14,7,0,9,1,11,18,1.636363636,190,
237,20151856,E4E0027,E. anglica x nemorosa,B236,132,10,0,12,5,0,8,1,15,19,1.266666667,201,1.3
264,20151856,E4E0027,E. anglica x nemorosa,B263,142,8,0,12,6,0,11.5,1,15,18,1.2,200,
270,20151856,E4E0027,E. anglica x nemorosa,B269,92,5,0,9,5,0,9,1,12,16,1.333333333,202,
45,20151858,E4E0016,E. anglica x rostkoviana,B45,146,9,0,11,7,0,8,1,13,21,1.615384615,206,
46,20151858,E4E0016,E. anglica x rostkoviana,B46,104,6,0,9,5,0,8.5,1,16,17,1.0625,220,1.27
47,20151858,E4E0016,E. anglica x rostkoviana,B47,122,9,0,10,6,0,7,1,16,14,0.875,,1.32
48,20151858,E4E0016,E. anglica x rostkoviana,B48,90,5,0,9,5,0,8,1,14,20,1.428571429,,
103,20151858,E4E0016,E. anglica x rostkoviana,B102,105,5,0,9,5,0,8,1,18,23,1.277777778,,1.28
104,20151858,E4E0016,E. anglica x rostkoviana,B103,162,8,0,12,7,0,8.5,1,13,23,1.769230769,,
105,20151858,E4E0016,E. anglica x rostkoviana,B104,147,9,0,13,7,0,8,1,14,22,1.571428571,,
113,20151858,E4E0016,E. anglica x rostkoviana,B112,127,10,0,11,5,0,8,1,18,22,1.222222222,172,
179,20151858,E4E0016,E. anglica x rostkoviana,B178,100,6,0,11,6,0,7,1,11,13,1.181818182,171,
13,20151876,E4E0138,E. arctica,B13,79,3,0,8,5,0,8.5,0,10,18,1.8,191,
14,20151844,E4E0144,E. arctica,B14,98,1,0,6,4,1,10,0,8,9,1.125,210,
17,20151876,E4E0138,E. arctica,B17,94,5,1,9,4,0,9.5,0,14,15,1.071428571,192,2.48
