"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,19.0461630265901,2060.06904602639,0.00924540032448314,1
"2","Equisetum arvense - No host",0,17.2809337448713,2060.06907885544,0.00838852149291639,1
"3","Festuca rubra - No host",0,18.1266943259395,2060.06905367516,0.00879907122220078,1
"4","Holcus lanatus - No host",0,18.1084289779623,2060.0690651015,0.00879020479688142,1
"5","Marchantia polymorpha - No host",0,-1.0059793578684e-07,3070.9695813629,-3.2757711570101e-11,1
"6","Pinus sylvestris - No host",0,-1.00589853354664e-07,2752.88303137235,-3.65398210560799e-11,1
"7","Plantago lanceolata - No host",0,17.3535044377061,2060.06906922768,0.00842374884265986,1
"8","Trifolium repens - No host",0,19.8587783903185,2060.06904305224,0.00963986059462129,1
"9","Equisetum arvense - Arabidopsis thaliana",0,-1.76522928171873,0.426709531370546,-4.13684052486242,0.00060406423347914
"10","Festuca rubra - Arabidopsis thaliana",0,-0.91946870065054,0.279883650307955,-3.28518189482969,0.0166839223102851
"11","Holcus lanatus - Arabidopsis thaliana",0,-0.937734048627817,0.354136910281253,-2.64794214159455,0.11078685863965
"12","Marchantia polymorpha - Arabidopsis thaliana",0,-19.046163127188,2277.49198507504,-0.00836277943105931,1
"13","Pinus sylvestris - Arabidopsis thaliana",0,-19.0461631271799,1826.05601141986,-0.0104302184643123,1
"14","Plantago lanceolata - Arabidopsis thaliana",0,-1.69265858888403,0.377376962961315,-4.48532569556331,0.000147019118804881
"15","Trifolium repens - Arabidopsis thaliana",0,0.812615363728412,0.185921874812295,4.37073563586222,0.000263643792393853
"16","Festuca rubra - Equisetum arvense",0,0.845760581068188,0.462163442510457,1.83000320508702,0.557724754163376
"17","Holcus lanatus - Equisetum arvense",0,0.827495233090911,0.510561592018356,1.62075496086506,0.709049610290392
"18","Marchantia polymorpha - Equisetum arvense",0,-17.2809338454693,2277.49201477003,-0.00758770337432521,1
"19","Pinus sylvestris - Equisetum arvense",0,-17.2809338454612,1826.05604845601,-0.00946352871264427,1
"20","Plantago lanceolata - Equisetum arvense",0,0.0725706928347023,0.526947399706381,0.137719045345208,0.999999991595905
"21","Trifolium repens - Equisetum arvense",0,2.57784464544714,0.412100879979374,6.25537282418849,3.67940766743402e-09
"22","Holcus lanatus - Festuca rubra",0,-0.0182653479772767,0.396140094731899,-0.0461083041585034,0.99999999999865
"23","Marchantia polymorpha - Festuca rubra",0,-18.1266944265375,2277.49199199362,-0.0079590595665147,1
"24","Pinus sylvestris - Festuca rubra",0,-18.1266944265294,1826.05602004884,-0.0099266913104038,1
"25","Plantago lanceolata - Festuca rubra",0,-0.773189888233485,0.417046035354073,-1.85396772223729,0.540282804847449
"26","Trifolium repens - Festuca rubra",0,1.73208406437895,0.25706218863732,6.7379962551501,1.16750054068859e-10
"27","Marchantia polymorpha - Holcus lanatus",0,-18.1084290785602,2277.49200232914,-0.00795103959093649,1
"28","Pinus sylvestris - Holcus lanatus",0,-18.1084290785521,1826.05603293949,-0.00991668861847689,1
"29","Plantago lanceolata - Holcus lanatus",0,-0.754924540256209,0.470112209071831,-1.6058390437183,0.719163092337617
"30","Trifolium repens - Holcus lanatus",0,1.75034941235623,0.336391231274257,5.20331462186416,2.30348107987943e-06
"31","Pinus sylvestris - Marchantia polymorpha",0,8.08243217534946e-12,2919.15231738647,2.76876000173423e-15,1
"32","Plantago lanceolata - Marchantia polymorpha",0,17.353504538304,2277.4920060614,0.00761956770522957,1
"33","Trifolium repens - Marchantia polymorpha",0,19.8587784909164,2277.49198238483,0.00871958217394984,1
"34","Plantago lanceolata - Pinus sylvestris",0,17.3535045382959,1826.05603759445,0.00950327053552887,1
"35","Trifolium repens - Pinus sylvestris",0,19.8587784909083,1826.05600806457,0.0108752296770769,1
"36","Trifolium repens - Plantago lanceolata",0,2.50527395261244,0.360776223289741,6.94412156590609,2.84341439282798e-11
