"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","Host","Arabidopsis thaliana-No host",0.102981354821316,-0.0576964065521201,0.263659116194752,0.53712991839661
"2","Host","Equisetum arvense-No host",0.0416591510037871,-0.123557257410609,0.206875559418183,0.996991303195366
"3","Host","Festuca rubra-No host",0.0734618428357764,-0.0857841723925747,0.232707858064127,0.877376603044648
"4","Host","Holcus lanatus-No host",0.0773275744278069,-0.0982541583249066,0.25290930718052,0.90315346428625
"5","Host","Marchantia polymorpha-No host",0.0708754208787871,-0.133072141417585,0.274822983175159,0.974937478742177
"6","Host","Pinus sylvestris-No host",0.0157544834740254,-0.167068487471449,0.1985774544195,0.999999114935637
"7","Host","Plantago lanceolata-No host",0.0167758764164217,-0.142470138811929,0.176021891644773,0.999995717924109
"8","Host","Trifolium repens-No host",0.180132417249157,0.0178263734957985,0.342438461002516,0.0175229299866047
"9","Host","Equisetum arvense-Arabidopsis thaliana",-0.0613222038175287,-0.18653664890819,0.0638922412731322,0.836410473466137
"10","Host","Festuca rubra-Arabidopsis thaliana",-0.0295195119855394,-0.146743609406325,0.0877045854352459,0.997018523893791
"11","Host","Holcus lanatus-Arabidopsis thaliana",-0.0256537803935089,-0.164258039081526,0.112950478294508,0.999678710242241
"12","Host","Marchantia polymorpha-Arabidopsis thaliana",-0.0321059339425286,-0.205244040137098,0.141032172252041,0.999674177198541
"13","Host","Pinus sylvestris-Arabidopsis thaliana",-0.0872268713472903,-0.234896889818676,0.0604431471240948,0.645887978913424
"14","Host","Plantago lanceolata-Arabidopsis thaliana",-0.0862054784048941,-0.203429575825679,0.0310186190158912,0.342532120806499
"15","Host","Trifolium repens-Arabidopsis thaliana",0.0771510624278416,-0.0441973923990609,0.198499517254744,0.548314772553828
"16","Host","Festuca rubra-Equisetum arvense",0.0318026918319893,-0.0915691348769135,0.155174518540892,0.996491156326247
"17","Host","Holcus lanatus-Equisetum arvense",0.0356684234240198,-0.108172666448897,0.179509513296937,0.997323447260103
"18","Host","Marchantia polymorpha-Equisetum arvense",0.029216269875,-0.148141905651294,0.206574445401294,0.999865909796008
"19","Host","Pinus sylvestris-Equisetum arvense",-0.0259046675297617,-0.178500712579144,0.12669137751962,0.999831773383062
"20","Host","Plantago lanceolata-Equisetum arvense",-0.0248832745873654,-0.148255101296268,0.0984885521215374,0.999393656477372
"21","Host","Trifolium repens-Equisetum arvense",0.13847326624537,0.0111761095675773,0.265770422923163,0.0218522419128407
"22","Host","Holcus lanatus-Festuca rubra",0.00386573159203046,-0.133076193663109,0.14080765684717,0.999999999875968
"23","Host","Marchantia polymorpha-Festuca rubra",-0.00258642195698927,-0.174396649192656,0.169223805278678,0.999999999999289
"24","Host","Pinus sylvestris-Festuca rubra",-0.057707359361751,-0.203818223849881,0.0884035051263789,0.946498405066561
"25","Host","Plantago lanceolata-Festuca rubra",-0.0566859664193547,-0.171939770617946,0.0585678377792363,0.83312500806667
"26","Host","Trifolium repens-Festuca rubra",0.106670574413381,-0.0127756388167009,0.226116787643463,0.121469554154134
"27","Host","Marchantia polymorpha-Holcus lanatus",-0.00645215354901973,-0.193504033232461,0.180599726134421,0.999999999385489
"28","Host","Pinus sylvestris-Holcus lanatus",-0.0615730909537814,-0.225335224036511,0.102189042128948,0.959742304667561
"29","Host","Plantago lanceolata-Holcus lanatus",-0.0605516980113852,-0.197493623266525,0.0763902272437544,0.901123834644199
"30","Host","Trifolium repens-Holcus lanatus",0.102804842821351,-0.0376837665579983,0.243293452200699,0.349350476798694
"31","Host","Pinus sylvestris-Marchantia polymorpha",-0.0551209374047617,-0.24898609549665,0.138744220687127,0.993141622790161
"32","Host","Plantago lanceolata-Marchantia polymorpha",-0.0540995444623654,-0.225909771698032,0.117710682773301,0.986551726732147
"33","Host","Trifolium repens-Marchantia polymorpha",0.10925699637037,-0.0653932617328759,0.283907254473616,0.570551696008301
"34","Host","Plantago lanceolata-Pinus sylvestris",0.00102139294239628,-0.145089471545734,0.147132257430526,1
"35","Host","Trifolium repens-Pinus sylvestris",0.164377933775132,0.0149378347580753,0.313818032792189,0.0193571140301227
"36","Host","Trifolium repens-Plantago lanceolata",0.163356540832736,0.0439103276026538,0.282802754062818,0.000936756440372943
