"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,-0.177577566645508,0.0241437574690313,-7.35500954535694,1.12132525487141e-12
"2","Equisetum arvense - No host",0,-0.111896185812946,0.0244456178628411,-4.57735150900136,0.000193673823177698
"3","Festuca rubra - No host",0,-0.112098787457096,0.0237037719548397,-4.72915397898133,7.00570190594885e-05
"4","Holcus lanatus - No host",0,-0.0632602141536867,0.0259155190543897,-2.44101667502475,0.254493719373893
"5","Marchantia polymorpha - No host",0,-0.0306512420250288,0.0297643883258303,-1.02979579790084,0.982257021853379
"6","Pinus sylvestris - No host",0,-0.0295705989372908,0.0267702936651196,-1.10460495156315,0.972495049807981
"7","Plantago lanceolata - No host",0,-0.136988827163047,0.0237828431755466,-5.75998530335087,1.48517239173529e-07
"8","Trifolium repens - No host",0,-0.243714893116712,0.0246577344250981,-9.88391264643701,0
"9","Equisetum arvense - Arabidopsis thaliana",0,0.0656813808325616,0.0188346867746976,3.4872563381727,0.0137576334199732
"10","Festuca rubra - Arabidopsis thaliana",0,0.0654787791884119,0.0178612988915128,3.66595842699467,0.00720075121665498
"11","Holcus lanatus - Arabidopsis thaliana",0,0.114317352491821,0.0207067940798025,5.52076540922996,5.43589964152602e-07
"12","Marchantia polymorpha - Arabidopsis thaliana",0,0.146926324620479,0.0253589433063709,5.79386620512563,1.42610024012058e-07
"13","Pinus sylvestris - Arabidopsis thaliana",0,0.148006967708217,0.0217670810197798,6.79957811402104,9.23465748314811e-11
"14","Plantago lanceolata - Arabidopsis thaliana",0,0.040588739482461,0.0179661020457293,2.25918451198541,0.358874408574606
"15","Trifolium repens - Arabidopsis thaliana",0,-0.066137326471204,0.0191091878473048,-3.46102236262921,0.0147513797223052
"16","Festuca rubra - Equisetum arvense",0,-0.000202601644149744,0.0182672714455281,-0.0110909636808042,1
"17","Holcus lanatus - Equisetum arvense",0,0.0486359716592598,0.021057980174651,2.309621875217,0.327600091418756
"18","Marchantia polymorpha - Equisetum arvense",0,0.0812449437879176,0.0256465049000519,3.16787586084501,0.0397319144711662
"19","Pinus sylvestris - Equisetum arvense",0,0.0823255868756556,0.0221014258384907,3.72489935614387,0.00575086440700034
"20","Plantago lanceolata - Equisetum arvense",0,-0.0250926413501006,0.0183697585909616,-1.36597556390571,0.907123153137749
"21","Trifolium repens - Equisetum arvense",0,-0.131818707303766,0.0194891833629896,-6.76368551973772,1.3677814436619e-10
"22","Holcus lanatus - Festuca rubra",0,0.0488385733034095,0.0201920553987696,2.41870242225987,0.265758329439207
"23","Marchantia polymorpha - Festuca rubra",0,0.0814475454320673,0.0249404046835526,3.26568660234208,0.0288040500001961
"24","Pinus sylvestris - Festuca rubra",0,0.0825281885198054,0.0212780073382188,3.87856753726986,0.00326576068467677
"25","Plantago lanceolata - Festuca rubra",0,-0.0248900397059509,0.0173703368672342,-1.43290483634207,0.881171026022212
"26","Trifolium repens - Festuca rubra",0,-0.131616105659616,0.0185501708980596,-7.09514248590472,1.0807799100121e-11
"27","Marchantia polymorpha - Holcus lanatus",0,0.0326089721286578,0.0270512311873371,1.20545242110542,0.953595102729602
"28","Pinus sylvestris - Holcus lanatus",0,0.0336896152163959,0.0237170596671822,1.42048026564663,0.886067217704246
"29","Plantago lanceolata - Holcus lanatus",0,-0.0737286130093604,0.020284820084304,-3.63466930951042,0.00832092977860843
"30","Trifolium repens - Holcus lanatus",0,-0.180454678963025,0.0213038532504945,-8.47051830676861,6.66133814775094e-16
"31","Pinus sylvestris - Marchantia polymorpha",0,0.00108064308773806,0.0278711966698431,0.0387727552763216,0.999999999999832
"32","Plantago lanceolata - Marchantia polymorpha",0,-0.106337585138018,0.0250155673612447,-4.25085642082063,0.000718868036932774
"33","Trifolium repens - Marchantia polymorpha",0,-0.213063651091683,0.0258487687883,-8.24270017797221,1.55431223447522e-15
"34","Plantago lanceolata - Pinus sylvestris",0,-0.107418228225756,0.0213660576829441,-5.02751746811509,1.12234930592647e-05
"35","Trifolium repens - Pinus sylvestris",0,-0.214144294179421,0.0223358155968596,-9.58748487382434,0
"36","Trifolium repens - Plantago lanceolata",0,-0.106726065953665,0.0186511035859227,-5.72223865799656,1.98220037717078e-07
