"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,-0.177577566645507,0.0241437574690312,-7.35500954535693,8.58868531850021e-13
"2","Equisetum arvense - No host",0,-0.111896185812945,0.024445617862841,-4.57735150900134,7.76764539857089e-05
"3","Festuca rubra - No host",0,-0.112098787457095,0.0237037719548396,-4.72915397898131,4.28780303076692e-05
"4","Holcus lanatus - No host",0,-0.0632602141536852,0.0259155190543896,-2.4410166750247,0.177681896895477
"5","Plantago lanceolata - No host",0,-0.136988827163047,0.0237828431755466,-5.75998530335088,8.53356419971973e-08
"6","Trifolium repens - No host",0,-0.243714893116712,0.0246577344250981,-9.88391264643703,0
"7","Equisetum arvense - Arabidopsis thaliana",0,0.0656813808325619,0.0188346867746976,3.48725633817272,0.00861357959795628
"8","Festuca rubra - Arabidopsis thaliana",0,0.0654787791884119,0.0178612988915128,3.66595842699468,0.00442328347192511
"9","Holcus lanatus - Arabidopsis thaliana",0,0.114317352491822,0.0207067940798025,5.52076540922999,4.69604918396094e-07
"10","Plantago lanceolata - Arabidopsis thaliana",0,0.0405887394824599,0.0179661020457293,2.25918451198535,0.259722220572944
"11","Trifolium repens - Arabidopsis thaliana",0,-0.0661373264712053,0.0191091878473047,-3.46102236262928,0.00956812333888213
"12","Festuca rubra - Equisetum arvense",0,-0.00020260164414998,0.0182672714455281,-0.0110909636808172,0.999999999999836
"13","Holcus lanatus - Equisetum arvense",0,0.04863597165926,0.0210579801746509,2.30962187521701,0.234958380798367
"14","Plantago lanceolata - Equisetum arvense",0,-0.025092641350102,0.0183697585909616,-1.36597556390579,0.816690145160236
"15","Trifolium repens - Equisetum arvense",0,-0.131818707303767,0.0194891833629895,-6.76368551973781,2.3357049627748e-10
"16","Holcus lanatus - Festuca rubra",0,0.04883857330341,0.0201920553987696,2.41870242225989,0.186998640400731
"17","Plantago lanceolata - Festuca rubra",0,-0.0248900397059521,0.0173703368672342,-1.43290483634214,0.780229509589549
"18","Trifolium repens - Festuca rubra",0,-0.131616105659617,0.0185501708980596,-7.0951424859048,1.28385080344628e-11
"19","Plantago lanceolata - Holcus lanatus",0,-0.073728613009362,0.020284820084304,-3.63466930951051,0.00513728295384619
"20","Trifolium repens - Holcus lanatus",0,-0.180454678963027,0.0213038532504945,-8.4705183067687,8.88178419700125e-16
"21","Trifolium repens - Plantago lanceolata",0,-0.106726065953665,0.0186511035859227,-5.72223865799657,1.41732983571785e-07
