"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,-0.115570994937686,0.114370284129783,-1.01049845086107,0.984240565184677
"2","Equisetum arvense - No host",0,-0.0655910626326638,0.116123454654483,-0.564839057086488,0.999738102663301
"3","Festuca rubra - No host",0,-0.0337076751132195,0.111988013956126,-0.300993596747105,0.999997946809494
"4","Holcus lanatus - No host",0,-0.00867214107023387,0.123135437025587,-0.0704276630652787,0.999999999980196
"5","Marchantia polymorpha - No host",0,-0.0247690681124087,0.143765659215755,-0.172287792839574,0.999999975157537
"6","Pinus sylvestris - No host",0,0.0510966826623052,0.126584465772499,0.403656818002753,0.999979756909742
"7","Plantago lanceolata - No host",0,-0.0714480030960664,0.112564716467637,-0.63472822868619,0.999376599089963
"8","Trifolium repens - No host",0,-0.133968360077401,0.115964719541438,-1.15525101606036,0.963829348652848
"9","Equisetum arvense - Arabidopsis thaliana",0,0.0499799323050218,0.0906454345199971,0.551378374097769,0.999781230682302
"10","Festuca rubra - Arabidopsis thaliana",0,0.0818633198244662,0.0852833708777092,0.959897796979119,0.988709656454867
"11","Holcus lanatus - Arabidopsis thaliana",0,0.106898853867452,0.0994699649638497,1.07468474434772,0.976702937921318
"12","Marchantia polymorpha - Arabidopsis thaliana",0,0.0908019268252769,0.124098762476375,0.731690832473554,0.998254466509983
"13","Pinus sylvestris - Arabidopsis thaliana",0,0.166667677599991,0.103709040364551,1.60706990455346,0.794817263594529
"14","Plantago lanceolata - Arabidopsis thaliana",0,0.0441229918416193,0.0860392554120896,0.512823961926331,0.999872932407405
"15","Trifolium repens - Arabidopsis thaliana",0,-0.0183973651397151,0.0904419938786828,-0.203416182579886,0.999999906780882
"16","Festuca rubra - Equisetum arvense",0,0.0318833875194443,0.0876204780700797,0.363880547352683,0.999990943669899
"17","Holcus lanatus - Equisetum arvense",0,0.05691892156243,0.101480878784498,0.560883215086278,0.999751425824903
"18","Marchantia polymorpha - Equisetum arvense",0,0.0408219945202551,0.125716338147165,0.324715109602289,0.999996274928386
"19","Pinus sylvestris - Equisetum arvense",0,0.116687745294969,0.105639291375419,1.10458659629102,0.972462259027862
"20","Plantago lanceolata - Equisetum arvense",0,-0.00585694046340257,0.0883563710257004,-0.0662876982770032,0.99999999998779
"21","Trifolium repens - Equisetum arvense",0,-0.0683772974447369,0.0926490641383718,-0.738024696532446,0.998142650896237
"22","Holcus lanatus - Festuca rubra",0,0.0250355340429856,0.0967213901255546,0.258841751658934,0.99999937276772
"23","Marchantia polymorpha - Festuca rubra",0,0.00893860700081076,0.121906752175907,0.073323313444629,0.999999999972679
"24","Pinus sylvestris - Festuca rubra",0,0.0848043577755247,0.101075805370259,0.839017383684169,0.995440321651662
"25","Plantago lanceolata - Festuca rubra",0,-0.0377403279828469,0.0828462844657322,-0.455546416187892,0.999948586314185
"26","Trifolium repens - Festuca rubra",0,-0.100260684964181,0.0874099973381875,-1.14701622259837,0.965315097426465
"27","Marchantia polymorpha - Holcus lanatus",0,-0.0160969270421749,0.132220561213915,-0.121742994390503,0.999999998435951
"28","Pinus sylvestris - Holcus lanatus",0,0.059768823732539,0.113301981504698,0.527517903383363,0.999842935170197
"29","Plantago lanceolata - Holcus lanatus",0,-0.0627758620258325,0.0973885385013125,-0.644591889270281,0.999303012888081
"30","Trifolium repens - Holcus lanatus",0,-0.125296219007167,0.101299201459373,-1.23689246511404,0.946088837009843
"31","Pinus sylvestris - Marchantia polymorpha",0,0.0758657507747139,0.135438428561281,0.560149372527511,0.999753163219687
"32","Plantago lanceolata - Marchantia polymorpha",0,-0.0466789349836577,0.122436744279158,-0.38124939746216,0.999986994634387
"33","Trifolium repens - Marchantia polymorpha",0,-0.109199291964992,0.1255697301684,-0.869630696972478,0.994169074946563
"34","Plantago lanceolata - Pinus sylvestris",0,-0.122544685758372,0.101714396989061,-1.20479194082575,0.953750734107217
"35","Trifolium repens - Pinus sylvestris",0,-0.185065042739706,0.105464777720968,-1.75475686517198,0.704129806415644
"36","Trifolium repens - Plantago lanceolata",0,-0.0625203569813343,0.0881476474913757,-0.709268582436659,0.998607154838132
