"","lhs","rhs","estimate","std.error","statistic","p.value"
"1","Arabidopsis thaliana - No host",0,-0.115570994937681,0.114370284129783,-1.01049845086103,0.95070016228189
"2","Equisetum arvense - No host",0,-0.0655910626326639,0.116123454654483,-0.564839057086491,0.99767446570147
"3","Festuca rubra - No host",0,-0.0337076751132197,0.111988013956126,-0.300993596747107,0.99993833929931
"4","Holcus lanatus - No host",0,-0.00867214107023431,0.123135437025586,-0.0704276630652825,0.999999989303977
"5","Plantago lanceolata - No host",0,-0.0714480030960671,0.112564716467637,-0.634728228686197,0.99555870836503
"6","Trifolium repens - No host",0,-0.133968360077401,0.115964719541438,-1.15525101606036,0.90871888648822
"7","Equisetum arvense - Arabidopsis thaliana",0,0.0499799323050176,0.090645434519997,0.551378374097724,0.997966668893769
"8","Festuca rubra - Arabidopsis thaliana",0,0.0818633198244618,0.0852833708777091,0.959897796979069,0.961520829823423
"9","Holcus lanatus - Arabidopsis thaliana",0,0.106898853867447,0.0994699649638496,1.07468474434768,0.934190687264048
"10","Plantago lanceolata - Arabidopsis thaliana",0,0.0441229918416144,0.0860392554120895,0.512823961926275,0.99864985949119
"11","Trifolium repens - Arabidopsis thaliana",0,-0.0183973651397195,0.0904419938786828,-0.203416182579935,0.999993934671483
"12","Festuca rubra - Equisetum arvense",0,0.0318833875194442,0.0876204780700796,0.363880547352681,0.999812659341824
"13","Holcus lanatus - Equisetum arvense",0,0.0569189215624296,0.101480878784498,0.560883215086275,0.997763718241582
"14","Plantago lanceolata - Equisetum arvense",0,-0.00585694046340321,0.0883563710257002,-0.0662876982770105,0.999999992562469
"15","Trifolium repens - Equisetum arvense",0,-0.0683772974447371,0.0926490641383717,-0.738024696532449,0.98996780578393
"16","Holcus lanatus - Festuca rubra",0,0.0250355340429854,0.0967213901255545,0.258841751658931,0.999974675268595
"17","Plantago lanceolata - Festuca rubra",0,-0.0377403279828474,0.0828462844657321,-0.455546416187898,0.999312686343814
"18","Trifolium repens - Festuca rubra",0,-0.100260684964181,0.0874099973381874,-1.14701622259837,0.911626252904872
"19","Plantago lanceolata - Holcus lanatus",0,-0.0627758620258328,0.0973885385013124,-0.644591889270284,0.995171355312685
"20","Trifolium repens - Holcus lanatus",0,-0.125296219007167,0.101299201459372,-1.23689246511404,0.877438789856367
"21","Trifolium repens - Plantago lanceolata",0,-0.0625203569813339,0.0881476474913757,-0.709268582436654,0.991883865501038
