"","pairwise.differences.of.Expert_ID_living.contrast","pairwise.differences.of.Expert_ID_living.estimate","pairwise.differences.of.Expert_ID_living.SE","pairwise.differences.of.Expert_ID_living.df","pairwise.differences.of.Expert_ID_living.t.ratio","pairwise.differences.of.Expert_ID_living.p.value"
"1","E. arctica - E. confusa",-0.517419959691132,0.219006088322349,11.9737019261301,-2.3625825366533,0.191490633031972
"2","E. arctica - E. micrantha",0.105583420067794,0.377869710739048,12.5408199304671,0.279417526907068,0.998473347527469
"3","E. arctica - E. nemorosa",-0.461946492188347,0.241482142061486,12.0457801838638,-1.91296336965044,0.361216732259968
"4","E. arctica - E. pseudokerneri",-0.740296408350436,0.279185506278701,11.8102445358341,-2.65162908425276,0.122652470994612
"5","E. confusa - E. micrantha",0.623003379758926,0.394617049656426,12.4699126276925,1.5787543399388,0.535358582674334
"6","E. confusa - E. nemorosa",0.0554734675027841,0.266928309701564,11.9865337421055,0.207821596610736,0.999519893891505
"7","E. confusa - E. pseudokerneri",-0.222876448659305,0.301465826424199,11.7980135811683,-0.739309165827938,0.942797844833145
"8","E. micrantha - E. nemorosa",-0.567529912256142,0.407520029068375,12.4647977908507,-1.3926429912011,0.642883865075452
"9","E. micrantha - E. pseudokerneri",-0.84587982841823,0.430933284944875,12.3152965909762,-1.96290204996914,0.337309103602494
"10","E. nemorosa - E. pseudokerneri",-0.278349916162089,0.318169141674633,11.8564492547521,-0.874848876597641,0.900686580858186
