"","pairwise.differences.of.Expert_ID_living.contrast","pairwise.differences.of.Expert_ID_living.estimate","pairwise.differences.of.Expert_ID_living.SE","pairwise.differences.of.Expert_ID_living.df","pairwise.differences.of.Expert_ID_living.z.ratio","pairwise.differences.of.Expert_ID_living.p.value"
"1","E. arctica - E. confusa",-0.255106200123965,0.0852561131989586,Inf,-2.99223352498647,0.0232047050094821
"2","E. arctica - E. micrantha",0.0364952426927471,0.16681503732697,Inf,0.218776695899505,0.999492418204143
"3","E. arctica - E. nemorosa",-0.323202295637186,0.0929157406348985,Inf,-3.47844502372501,0.00459029276332446
"4","E. arctica - E. pseudokerneri",-0.432968814234848,0.101838598212477,Inf,-4.25151977574846,0.000206009167090238
"5","E. confusa - E. micrantha",0.291601442816712,0.170763203021082,Inf,1.70763629199852,0.429142714078249
"6","E. confusa - E. nemorosa",-0.0680960955132212,0.0998597418628243,Inf,-0.681917399774212,0.960420044436204
"7","E. confusa - E. pseudokerneri",-0.177862614110883,0.10822741346479,Inf,-1.6434155489519,0.46948648599475
"8","E. micrantha - E. nemorosa",-0.359697538329933,0.174762771093585,Inf,-2.05820459402831,0.238475589875265
"9","E. micrantha - E. pseudokerneri",-0.469464056927595,0.179669565514931,Inf,-2.61293032897428,0.067999214971932
"10","E. nemorosa - E. pseudokerneri",-0.109766518597662,0.114405738395002,Inf,-0.959449413443555,0.873233944407481
