"","pairwise.differences.of.Expert_ID_living.contrast","pairwise.differences.of.Expert_ID_living.estimate","pairwise.differences.of.Expert_ID_living.SE","pairwise.differences.of.Expert_ID_living.df","pairwise.differences.of.Expert_ID_living.z.ratio","pairwise.differences.of.Expert_ID_living.p.value"
"1","E. arctica - E. confusa",-0.20485153215867,0.0965609570242525,Inf,-2.12147371434211,0.210812158218832
"2","E. arctica - E. micrantha",0.58335457787827,0.254172660009908,Inf,2.29511143273841,0.146351550302782
"3","E. arctica - E. nemorosa",-0.153275973765433,0.108871480493286,Inf,-1.40786157284676,0.622568900754999
"4","E. arctica - E. pseudokerneri",-0.230252817016916,0.116376267231314,Inf,-1.97852038473838,0.276471689696064
"5","E. confusa - E. micrantha",0.78820611003694,0.257037787684403,Inf,3.06649896553233,0.0184326452044027
"6","E. confusa - E. nemorosa",0.051575558393237,0.11538151388716,Inf,0.447000187947582,0.991754493793783
"7","E. confusa - E. pseudokerneri",-0.0254012848582465,0.122569078892183,Inf,-0.207240562528748,0.999590368280192
"8","E. micrantha - E. nemorosa",-0.736630551643703,0.261914466486384,Inf,-2.8124851655798,0.0394524419827473
"9","E. micrantha - E. pseudokerneri",-0.813607394895187,0.265149569073787,Inf,-3.06848469615567,0.0183179300622661
"10","E. nemorosa - E. pseudokerneri",-0.0769768432514835,0.132486334545291,Inf,-0.581017231065204,0.977901107420386
